piece_id,assembly_order,group_name,tree_id,branch_level,angle_deg,expected_length_mm,expected_diameter_min_mm,expected_diameter_max_mm,tolerance_length_mm
P001,1,upper_tree_1,1,top,20,256.34,22,25,15
P002,2,upper_tree_1,1,top,20,256.34,22,25,15
P003,3,upper_tree_1,1,top,20,256.34,22,25,15
P004,4,upper_tree_1,1,top,20,256.34,22,25,15
P005,5,upper_tree_1,1,top,20,256.34,22,25,15
P006,6,upper_tree_1,1,top,20,256.34,22,25,15
P007,7,upper_tree_2,2,top,20,256.34,22,25,15
P008,8,upper_tree_2,2,top,20,256.34,22,25,15
P009,9,upper_tree_2,2,top,20,256.34,22,25,15
P010,10,upper_tree_2,2,top,20,256.34,22,25,15
P011,11,upper_tree_2,2,top,20,256.34,22,25,15
P012,12,upper_tree_2,2,top,20,256.34,22,25,15
P013,13,upper_tree_3,3,top,20,256.34,22,25,15
P014,14,upper_tree_3,3,top,20,256.34,22,25,15
P015,15,upper_tree_3,3,top,20,256.34,22,25,15
P016,16,upper_tree_3,3,top,20,256.34,22,25,15
P017,17,upper_tree_3,3,top,20,256.34,22,25,15
P018,18,upper_tree_3,3,top,20,256.34,22,25,15